loss,testAccuracy,trainAccuracy
0.618368923664093,0.7124999761581421,0.6572916507720947
0.5017406344413757,0.7883333563804626,0.7543749809265137
0.4395464062690735,0.815833330154419,0.8012499809265137
0.3597349226474762,0.8650000095367432,0.8512499928474426
0.27803391218185425,0.9150000214576721,0.8962500095367432
0.20370686054229736,0.9508333206176758,0.9364583492279053
0.14374588429927826,0.9633333086967468,0.9591666460037231
0.10112336277961731,0.9850000143051147,0.9777083396911621
0.06164215877652168,0.9925000071525574,0.9914583563804626
0.044360850006341934,0.9891666769981384,0.9935416579246521
0.022950230166316032,0.996666669845581,0.9993749856948853
0.028462892398238182,0.9891666769981384,0.9981250166893005
0.013407155871391296,0.996666669845581,0.9993749856948853
0.007176501676440239,1.0,1.0
0.0025910758413374424,1.0,1.0
0.0016909911064431071,1.0,1.0
0.0010884366929531097,1.0,1.0
0.0008269873214885592,1.0,1.0
0.0007177831139415503,1.0,1.0
0.0006381110870279372,1.0,1.0
